code,similar_code,rank,distance
no,sj,2,0.0
no,lv,3,0.217
no,qa,4,0.2587
no,es,5,0.2815
no,sx,6,0.2869
np,hu,1,0.2861
np,na,2,0.3273
np,bm,3,0.3372
np,rs,4,0.3391
np,wf,5,0.3442
np,tt,6,0.3458
nr,gu,1,0.1209
nr,nz,2,0.1402
nr,au,3,0.1492
nr,cw,4,0.1568
nr,sh,5,0.1597
nr,tc,6,0.1677
nu,bn,1,0.2616
nu,bt,2,0.2762
nu,va,3,0.3057
nu,gf,4,0.3148
nu,ua,5,0.317
nu,ec,6,0.3349
nz,sh,1,0.0305
nz,au,2,0.0337
nz,ck,3,0.0473
nz,ky,4,0.0481
nz,tc,5,0.0493
nz,ms,6,0.0495
om,by,1,0.1784
om,pe,2,0.222
om,cl,3,0.2225
om,ca,4,0.2363
om,mv,5,0.2414
om,pl,6,0.2446
pa,fr,1,0.2346
pa,mf,2,0.2346
pa,sg,3,0.2631
pa,do,4,0.285
pa,mt,5,0.2893
pa,mc,6,0.2913
pe,ca,1,0.1118
pe,ch,2,0.1485
pe,dk,3,0.1678
pe,at,4,0.1756
pe,hk,5,0.1796
pe,fr,6,0.1877
pf,lb,1,0.0804
pf,at,2,0.1148
pf,tj,3,0.1889
pf,gl,4,0.1892
pf,gi,5,0.1953
pf,pl,6,0.2008
pg,ao,1,0.0793
pg,ly,2,0.1797
pg,tl,3,0.2188
pg,vu,4,0.2434
pg,kn,5,0.2569
pg,tt,6,0.2581
ph,ht,1,0.1634
ph,kh,2,0.2229
ph,ru,3,0.2545
ph,cr,4,0.2633
ph,hr,5,0.2871
ph,cu,6,0.2873
pk,sa,1,0.2478
pk,dm,2,0.2573
pk,mg,3,0.266
pk,nf,4,0.2926
pk,sb,5,0.3295
pk,sr,6,0.3443
pl,gl,1,0.0821
pl,gi,2,0.1233
pl,cl,3,0.1369
pl,mt,4,0.1517
pl,cz,5,0.1639
pl,lb,6,0.2002
